country,"GDP, millions of dollars",
American Samoa,634,WRP-B
Aruba,2700,?
Bosnia and Herzegovina,18050,EUR-B
Brunei ,12130,WPR-A
Cabo Verde,1770,AFR-D
Comoros,1070,AFR-D
Czech Republic (Czechia),216000,EUR-A
DR Congo,37640,AFR-E
Equatorial Guinea,12290,AFR-D
Eswatini,4430,?
Guam,5860,?
Hong Kong,341000,?
Iran,454000,EMR-B
Laos,16850,?
Libya,38110,EMR-B
Macao,50360,WPR-B
Moldova,8130,EUR-C
Montenegro,4840,?
North Macedonia,11280,EUR-B
Northern Mariana Islands,1590,?
Russia,1578000,EUR-C
Saint Kitts & Nevis,992,?
Sao Tome & Principe,393,?
Serbia,41430,?
South Korea,1531000,WPR-B
St. Vincent & Grenadines,785,?
State of Palestine,14500,?
Tanzania,53320,AFR-E
Timor-Leste,2950,SEAR-D
United States,19485000,AMR-A
Vietnam,224000,WPR-B
Zambia,25870,AFR-E
total with (?),24196974,24196974
